
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,1057.9
북춘천(93),127.75443,37.94738,1083.9
철원(95),127.3042,38.14787,1179.7
동두천(98),127.0607,37.90188,1134.4
파주(99),126.76648,37.88589,1045.2
대관령(100),128.71834,37.67713,836.5
춘천(101),127.7357,37.90262,1023.8
백령도(102),124.71237,37.97396,636.6
북강릉(104),128.85535,37.80456,851.2
강릉(105),128.89099,37.75147,796.7
동해(106),129.12433,37.50709,638.4
서울(108),126.9658,37.57142,1085.7
인천(112),126.6249,37.47772,830.1
원주(114),127.94659,37.33749,888.3
울릉도(115),130.89863,37.48129,477.5
수원(119),126.983,37.25746,1135.1
영월(121),128.45743,37.18126,908
충주(127),127.9525,36.97045,969.9
서산(129),126.4939,36.77658,873.4
울진(130),129.41278,36.99176,758.5
청주(131),127.44066,36.63924,918.3
대전(133),127.3721,36.37199,1099
추풍령(135),127.99458,36.22025,1015.6
안동(136),128.70733,36.57293,835.9
상주(137),128.15741,36.40837,1087.5
포항(138),129.38002,36.03201,639
군산(140),126.76135,36.0053,1163.4
대구(143),128.65296,35.87797,838.5
전주(146),127.11718,35.84092,1303.7
울산(152),129.33469,35.58237,854
창원(155),128.57282,35.17019,996.1
광주(156),126.89156,35.17294,1471.3
부산(159),129.03203,35.10468,1517.1
통영(162),128.43561,34.84541,1252.5
목포(165),126.38151,34.81732,834.2
여수(168),127.74063,34.73929,1099.1
흑산도(169),125.45105,34.68719,689.9
완도(170),126.70182,34.3959,725.8
고창(172),126.599,35.34824,952.9
순천(174),127.3694,35.0204,1243.9
홍성(177),126.68772,36.65759,1001.7
제주(184),126.52969,33.51411,546.6
고산(185),126.16283,33.29382,719.5
성산(188),126.8802,33.38677,909.4
서귀포(189),126.5653,33.24616,887.3
진주(192),128.04004,35.16378,1178.4
강화(201),126.44634,37.70739,917.7
양평(202),127.49446,37.48863,910.1
이천(203),127.48421,37.26399,1128.8
인제(211),128.16714,38.05986,851.1
홍천(212),127.88043,37.6836,1048.8
태백(216),128.98929,37.17038,708.3
정선군(217),128.6459,37.38149,748.7
제천(221),128.19433,37.15928,1081.9
보은(226),127.73415,36.48761,1259.8
천안(232),127.29282,36.76217,960
보령(235),126.55744,36.32724,807.1
부여(236),126.92079,36.27242,1048.8
금산(238),127.48175,36.10563,1235.4
세종(예)(239),127.235,36.48639,1151.7
부안(243),126.71657,35.72961,1089
임실(244),127.28556,35.61203,1319.9
정읍(245),126.83904,35.56337,1105.8
남원(247),127.39652,35.4213,1444.4
장수(248),127.52031,35.65696,1418.2
고창군(251),126.697,35.42661,1077.5
영광군(252),126.47784,35.28366,1094.1
김해시(253),128.89075,35.22981,974.1
순창군(254),127.1286,35.37131,1562.8
북창원(255),128.6726,35.22655,920.1
양산시(257),129.02009,35.30737,983.7
보성군(258),127.21226,34.76335,1027.7
강진군(259),126.76715,34.6289,983.7
장흥(260),126.91951,34.68886,1020.7
해남(261),126.56907,34.55375,731
고흥(262),127.27572,34.61826,820.9
의령군(263),128.28812,35.32258,1086.3
함양군(264),127.74538,35.51138,1395.3
광양시(266),127.6914,34.9434,1172.6
진도군(268),126.25846,34.47296,744.8
봉화(271),128.91449,36.94361,822.7
영주(272),128.51687,36.87183,1025.3
문경(273),128.14879,36.62727,1226
청송군(276),129.04005,36.4351,755.9
영덕(277),129.40926,36.53337,796.4
의성(278),128.68864,36.3561,740.4
구미(279),128.32055,36.13055,1033.1
영천(281),128.9514,35.97742,727.4
경주시(283),129.2009,35.8174,705.3
거창(284),127.9099,35.66739,1240
합천(285),128.16994,35.56505,1226.2
밀양(288),128.74412,35.49147,805.5
산청(289),127.8791,35.413,1564.9
거제(294),128.60459,34.88818,1484.3
남해(295),127.92641,34.81662,1247.6
