region,total_risk,high_risk,medium_risk,low_risk,aged_housing_ratio,aged_housing_count,total_housing_count
서울특별시,16,10,4,2.0,26.0,820267,3155331
부산광역시,65,24,33,8.0,30.1,399604,1329355
대구광역시,28,11,7,10.0,26.5,232377,876286
인천광역시,16,2,13,1.0,27.4,310175,1131300
광주광역시,41,15,11,15.0,25.4,142277,560550
대전광역시,4,3,1,,31.6,162217,514123
울산광역시,32,14,13,5.0,26.1,105758,405885
세종특별자치시,17,5,6,6.0,7.2,11068,153545
경기도,101,26,57,18.0,15.7,760589,4859873
강원도,338,153,135,50.0,30.7,207326,674829
충청북도,254,99,92,63.0,29.3,197214,673539
충청남도,192,70,88,34.0,24.2,223921,925749
전라북도,351,94,171,86.0,34.4,262935,765051
전라남도,383,162,128,93.0,41.4,345596,835004
경상북도,472,181,148,143.0,35.7,395022,1106957
경상남도,376,133,183,60.0,30.0,396895,1321044
제주특별자치도,106,15,43,48.0,27.7,71440,257878
