시도,행정구역명,총인구(명),총면적,하수도설치율,공공하수처리구역 인구보급률,고도처리인구 보급률,인구밀도
서울특별시,종로구,150453,23.913,100.0,100.0,100.0,6291.682348513361
서울특별시,중구,131793,9.96,100.0,100.0,100.0,13232.22891566265
서울특별시,용산구,227106,21.868,100.0,100.0,100.0,10385.311871227364
서울특별시,성동구,284766,16.82,100.0,100.0,100.0,16930.202140309157
서울특별시,광진구,351180,17.063,100.0,100.0,100.0,20581.374904764696
서울특별시,동대문구,359873,14.216,100.0,100.0,100.0,25314.64546989308
서울특별시,중랑구,387470,18.497,100.0,100.0,100.0,20947.721252094936
서울특별시,성북구,438168,24.578,100.0,100.0,100.0,17827.650744568313
서울특별시,강북구,292977,23.6,100.0,100.0,100.0,12414.279661016948
서울특별시,도봉구,309494,20.651,100.0,100.0,100.0,14986.877148806354
서울특별시,노원구,502925,35.439,100.0,100.0,100.0,14191.286435847513
서울특별시,은평구,470869,29.71,100.0,100.0,100.0,15848.83877482329
서울특별시,서대문구,320629,17.626,100.0,100.0,100.0,18190.684216498354
서울특별시,마포구,375162,23.854,100.0,100.0,100.0,15727.425169782846
서울특별시,양천구,439252,17.406,99.2,100.0,100.0,25235.66586234632
서울특별시,강서구,568826,41.452,100.0,100.0,100.0,13722.522435588151
서울특별시,구로구,415651,20.123,100.0,100.0,100.0,20655.518560850767
서울특별시,금천구,241105,13.021,100.0,100.0,100.0,18516.626987174564
서울특별시,영등포구,397800,24.551,100.0,100.0,100.0,16203.00598753615
서울특별시,동작구,389714,16.357,99.2,100.0,100.0,23825.51812679587
서울특별시,관악구,497883,29.568,100.0,100.0,100.0,16838.575487012986
서울특별시,서초구,412078,46.966,100.0,100.0,100.0,8773.964144274581
서울특별시,강남구,550282,39.498,100.0,100.0,100.0,13931.895285837258
서울특별시,송파구,660025,33.877,100.0,100.0,100.0,19482.982554535523
서울특별시,강동구,463318,24.59,100.0,100.0,100.0,18841.724278161855
부산광역시,중구,40902,3.013,100.0,100.0,100.0,13575.1742449386
부산광역시,서구,106437,13.972,86.8,100.0,100.0,7617.878614371601
부산광역시,동구,89584,10.121,64.3,100.0,100.0,8851.299278727398
부산광역시,영도구,108856,14.2,76.4,100.0,100.0,7665.915492957747
부산광역시,부산진구,361996,29.666,99.4,100.0,100.0,12202.38657048473
부산광역시,동래구,271838,16.631,98.8,100.0,100.0,16345.258853947447
부산광역시,남구,260487,26.824,94.0,100.0,100.0,9710.96779003877
부산광역시,북구,275492,39.374,95.9,100.0,100.0,6996.799918728094
부산광역시,해운대구,384289,51.523,93.9,100.0,66.2,7458.591308735904
부산광역시,사하구,302222,41.785,92.5,100.0,100.0,7232.786885245902
부산광역시,금정구,219952,65.279,96.6,100.0,100.0,3369.414359901347
부산광역시,강서구,148202,182.156,78.6,95.5,95.5,813.5993324403258
부산광역시,연제구,206589,12.106,100.0,100.0,100.0,17065.009086403436
부산광역시,수영구,176044,10.217,90.8,100.0,100.0,17230.498189292353
부산광역시,사상구,208398,36.105,98.0,100.0,100.0,5771.998338180308
부산광역시,기장군,181164,218.337,93.2,97.1,97.1,829.7448439797195
대구광역시,중구,89937,7.056,98.9,100.0,100.0,12746.173469387755
대구광역시,동구,344747,182.113,88.8,99.2,99.2,1893.0389373630658
대구광역시,서구,166480,17.324,81.7,100.0,100.0,9609.789886862156
대구광역시,남구,141178,17.43,95.4,100.0,100.0,8099.713138267355
대구광역시,북구,425441,93.947,96.6,99.8,99.8,4528.521400364035
대구광역시,수성구,409035,76.536,94.1,99.6,99.6,5344.3477579178425
대구광역시,달서구,539175,62.371,100.0,100.0,100.0,8644.642542207115
대구광역시,달성군,268757,428.362,83.0,92.4,92.4,627.4062591919918
대구광역시,군위군,23515,614.335,50.0,50.0,50.0,38.27716148355539
인천광역시,중구,163728,140.38,73.4,92.2,92.2,1166.3199886023651
인천광역시,동구,60438,7.247,99.8,99.8,99.8,8339.726783496619
인천광역시,미추홀구,417590,24.839,100.0,100.0,100.0,16811.868432706633
인천광역시,연수구,409234,56.191,98.0,99.6,99.6,7282.910074567101
인천광역시,남동구,504601,57.453,84.6,99.2,99.2,8782.848589281673
인천광역시,부평구,509601,32.005,91.5,100.0,100.0,15922.543352601155
인천광역시,계양구,283822,45.566,100.0,100.0,100.0,6228.810955537023
인천광역시,서구,638605,119.057,75.2,99.1,99.1,5363.859327884963
인천광역시,강화군,70034,411.407,24.8,39.2,39.2,170.23045305500392
인천광역시,옹진군,20773,172.95,34.9,60.8,60.8,120.10985834056086
광주광역시,동구,108893,49.317,44.4,99.9,99.9,2208.0215747105462
광주광역시,서구,286316,47.743,56.1,99.3,99.3,5997.025741993591
광주광역시,남구,211227,60.961,63.6,99.0,99.0,3464.9530027394567
광주광역시,북구,426867,120.261,70.1,98.9,98.9,3549.504827001272
광주광역시,광산구,411282,222.69,80.9,98.5,98.5,1846.8813148322781
대전광역시,동구,223981,136.693,99.4,99.4,99.4,1638.5696414593285
대전광역시,중구,224849,62.192,99.4,99.6,99.6,3615.4006946231025
대전광역시,서구,469624,95.542,98.9,99.3,99.3,4915.367063699734
대전광역시,유성구,374575,176.612,94.3,94.3,94.3,2120.8921251104116
대전광역시,대덕구,172571,68.739,95.1,98.6,97.9,2510.5253204149026
울산광역시,중구,210393,37.004,99.5,99.8,99.8,5685.682628904983
울산광역시,남구,311574,74.02,99.8,99.8,99.8,4209.32180491759
울산광역시,동구,159664,36.075,84.6,99.9,99.9,4425.890505890506
울산광역시,북구,219075,157.352,87.5,99.3,99.3,1392.2606639890182
울산광역시,울주군,226575,758.377,82.8,97.3,97.3,298.763016283458
세종특별자치시,조치원읍,42931,13.688,100.0,100.0,99.6,3136.396843950906
세종특별자치시,연기면,2553,12.082,60.3,88.1,87.7,211.30607515312033
세종특별자치시,연동면,3030,21.384,29.1,39.6,39.3,141.69472502805837
세종특별자치시,부강면,5921,27.812,77.9,80.5,80.5,212.89371494319
세종특별자치시,금남면,8683,72.546,68.3,85.7,85.6,119.6895762688501
세종특별자치시,장군면,7110,53.262,52.6,89.5,89.5,133.4910442717134
세종특별자치시,연서면,7151,54.562,96.9,96.9,95.8,131.0619112202632
세종특별자치시,전의면,5800,62.463,59.8,69.1,67.7,92.85497014232425
세종특별자치시,전동면,3406,57.733,54.8,65.9,65.3,58.99572168430534
세종특별자치시,소정면,2437,16.527,100.0,100.0,100.0,147.45567858655534
세종특별자치시,한솔동,18382,2.86,100.0,100.0,100.0,6427.272727272728
세종특별자치시,새롬동,26702,1.492,100.0,100.0,100.0,17896.782841823057
세종특별자치시,나성동,13324,32.173,0.0,100.0,100.0,414.1360768346128
세종특별자치시,도담동,25474,2.029,100.0,100.0,100.0,12554.953178905866
세종특별자치시,어진동,11269,2.655,0.0,100.0,100.0,4244.444444444444
세종특별자치시,해밀동,9546,8.412,100.0,100.0,100.0,1134.8074179743223
세종특별자치시,아름동,23662,2.244,100.0,100.0,100.0,10544.563279857397
세종특별자치시,종촌동,28545,1.142,100.0,100.0,100.0,24995.621716287216
세종특별자치시,고운동,36363,5.362,100.0,100.0,100.0,6781.6113390525925
세종특별자치시,소담동,22069,1.165,100.0,100.0,100.0,18943.34763948498
