재난,발생시간,지점정보
호우주의보,2020-01-07,제주도
호우주의보,2020-01-26,제주도
호우주의보,2020-01-27,제주도
호우주의보,2020-01-27,동해
호우주의보,2020-02-12,서울
호우주의보,2020-02-12,동해
호우주의보,2020-02-12,제주도
호우주의보,2020-03-09,제주도
호우주의보,2020-03-09,속초
호우주의보,2020-03-26,광주
호우주의보,2020-03-26,제주도
호우주의보,2020-03-26,울산
호우주의보,2020-04-17,제주도
호우주의보,2020-04-17,흑산도
호우주의보,2020-04-19,제주도
호우주의보,2020-05-02,제주도
호우주의보,2020-05-02,흑산도
호우주의보,2020-05-03,흑산도
호우주의보,2020-05-03,울릉도
호우주의보,2020-05-03,제주도
호우주의보,2020-05-08,제주도
호우주의보,2020-05-09,흑산도
호우주의보,2020-05-09,제주도
호우주의보,2020-05-09,장흥
호우주의보,2020-05-09,여수
호우주의보,2020-05-09,완도
호우경보,2020-05-09,제주도
호우주의보,2020-05-09,군산
호우주의보,2020-05-15,속초
호우주의보,2020-05-15,흑산도
호우경보,2020-05-15,제주도
호우주의보,2020-05-15,제주도
호우주의보,2020-05-15,여수
호우주의보,2020-05-15,완도
호우주의보,2020-05-15,산청
호우주의보,2020-05-18,파주
호우주의보,2020-05-18,철원
호우주의보,2020-05-18,동두천
호우주의보,2020-05-18,속초
호우주의보,2020-05-18,충주
호우주의보,2020-05-19,철원
호우경보,2020-05-19,동해
호우주의보,2020-05-19,속초
호우주의보,2020-06-10,제주도
호우주의보,2020-06-11,상주
호우주의보,2020-06-10,청주
호우주의보,2020-06-11,대전
호우주의보,2020-06-11,청주
호우주의보,2020-06-11,안동
호우주의보,2020-06-12,대구
호우주의보,2020-06-12,여수
호우주의보,2020-06-12,통영
호우주의보,2020-06-12,울산
호우주의보,2020-06-13,대구
호우경보,2020-06-13,창원
호우주의보,2020-06-13,고창
호우주의보,2020-06-13,제주도
호우주의보,2020-06-13,울산
호우주의보,2020-06-13,창원
호우경보,2020-06-13,제주도
호우주의보,2020-06-13,통영
호우주의보,2020-06-14,군산
호우주의보,2020-06-14,완도
호우경보,2020-06-14,흑산도
호우주의보,2020-06-14,상주
호우경보,2020-06-14,전주
호우주의보,2020-06-14,거창
호우주의보,2020-06-14,여수
호우주의보,2020-06-14,흑산도
호우주의보,2020-06-14,전주
호우주의보,2020-06-14,제주도
호우주의보,2020-06-17,제주도
호우주의보,2020-06-18,제주도
호우주의보,2020-06-18,흑산도
호우주의보,2020-06-18,여수
호우주의보,2020-06-20,영주
호우주의보,2020-06-24,흑산도
호우주의보,2020-06-24,제주도
호우경보,2020-06-24,제주도
호우주의보,2020-06-24,완도
호우주의보,2020-06-24,여수
호우주의보,2020-06-24,군산
호우주의보,2020-06-24,부산
호우주의보,2020-06-24,통영
호우주의보,2020-06-24,남해
호우주의보,2020-06-27,철원
호우경보,2020-06-27,철원
호우주의보,2020-06-29,흑산도
호우주의보,2020-06-29,완도
호우주의보,2020-06-29,군산
호우주의보,2020-06-29,서산
호우주의보,2020-06-29,속초
호우경보,2020-06-29,제주도
호우주의보,2020-06-29,상주
호우주의보,2020-06-29,순천
호우주의보,2020-06-29,제주도
호우주의보,2020-06-29,울산
호우주의보,2020-06-29,포항
호우주의보,2020-06-30,속초
호우주의보,2020-06-30,서울
호우주의보,2020-06-30,청주
호우주의보,2020-06-30,동해
호우주의보,2020-06-30,울릉도
호우주의보,2020-06-30,영덕
호우경보,2020-06-30,울릉도
호우주의보,2020-06-30,파주
호우경보,2020-06-30,동해
호우경보,2020-06-30,속초
호우주의보,2020-07-06,제주도
호우주의보,2020-07-06,안동
호우주의보,2020-07-06,전주
호우주의보,2020-07-06,상주
호우주의보,2020-07-07,제주도
호우주의보,2020-07-09,제주도
호우경보,2020-07-10,제주도
호우주의보,2020-07-10,목포
호우주의보,2020-07-10,포항
호우주의보,2020-07-10,제주도
호우주의보,2020-07-10,상주
호우주의보,2020-07-10,광주
호우경보,2020-07-10,부산
호우주의보,2020-07-10,울산
호우주의보,2020-07-10,울릉도
