시도,구군,행정구역명,수계,지류,세부단위유역 ,중권역,소권역,총인구(명),총면적,하수처리구역 내 물리적처리 공공하수처리인구,하수처리구역 내 생물학적적처리 공공하수처리인구,하수처리구역 내 고도처리 공공하수처리인구,하수처리구역 내 물리적처리 폐수처리인구,하수처리구역 내 생물학적적처리 폐수처리인구,하수처리구역 내 고도처리 폐수처리인구,미접속인구,하수처리구역 내 면적,하수처리구역 외 미처리인구,하수처리구역 외 오수처리인구,하수처리구역 외 정화조인구,하수처리구역 외 면적,공공하수처리구역 인구보급률,고도처리인구 보급률,하수도설치율
서울특별시,종로구,종로구,한강,,한강본류,한강서울 한강고양,홍제천 창릉천 홍제천합류전 청계천,150453,23.913,0,0,150453,0,0,0,0,15.153,0,0,0,8.76,100.0,100.0,100.0
서울특별시,중구,중구,한강,중랑천,한강본류,한강서울,홍제천합류전 청계천,131793,9.96,0,0,131793,0,0,0,0,9.94,0,0,0,0.02,100.0,100.0,100.0
서울특별시,용산구,용산구,한강,중랑천,한강본류,한강서울,한강대교수위표 홍제천합류전,227106,21.868,0,0,227106,0,0,0,0,17.168,0,0,0,4.7,100.0,100.0,100.0
서울특별시,성동구,성동구,한강,,한강본류,한강서울,한강대교수위표 중랑천합류전 청계천 중랑천하류,284766,16.82,0,0,284766,0,0,0,0,13.08,0,0,0,3.74,100.0,100.0,100.0
서울특별시,광진구,광진구,한강,중랑천,한강본류,한강잠실 한강서울,중랑천합류전 잠실수중보 중랑천하류,351180,17.063,0,0,351180,0,0,0,0,12.303,0,0,0,4.76,100.0,100.0,100.0
서울특별시,동대문구,동대문구,한강,중랑천,한강본류,한강서울,청계천 중랑천하류,359873,14.216,0,0,359873,0,0,0,0,13.686,0,0,0,0.53,100.0,100.0,100.0
서울특별시,중랑구,중랑구,한강,중랑천,한강본류,한강서울,중랑천하류,387470,18.497,0,0,387470,0,0,0,0,13.007,0,0,0,5.49,100.0,100.0,100.0
서울특별시,성북구,성북구,한강,중랑천,한강본류,한강서울,청계천 중랑천하류,438168,24.578,0,0,438168,0,0,0,0,18.768,0,0,0,5.81,100.0,100.0,100.0
서울특별시,강북구,강북구,한강,중랑천,한강본류,한강서울,청계천 중랑천하류,292977,23.6,0,0,292977,0,0,0,0,11.38,0,0,0,12.22,100.0,100.0,100.0
서울특별시,도봉구,도봉구,한강,중랑천,한강본류,한강서울,중랑천하류,309494,20.651,0,0,309494,0,0,0,0,11.171,0,0,0,9.48,100.0,100.0,100.0
서울특별시,노원구,노원구,한강,중랑천,한강본류,한강서울,중랑천하류,502925,35.439,0,0,502925,0,0,0,0,18.389,0,0,0,17.05,100.0,100.0,100.0
서울특별시,은평구,은평구,한강,중랑천,한강본류,한강서울 한강고양,홍제천 창릉천 행주대교수위표,470869,29.71,0,0,470869,0,0,0,0,19.68,0,0,0,10.03,100.0,100.0,100.0
서울특별시,서대문구,서대문구,한강,,한강본류,한강서울,홍제천 홍제천합류전,320629,17.626,0,0,320629,0,0,0,0,16.576,0,0,0,1.05,100.0,100.0,100.0
서울특별시,마포구,마포구,한강,,한강본류,한강서울 한강고양,홍제천 홍제천합류전 행주대교수위표,375162,23.854,0,0,375162,0,0,0,0,18.124,0,0,0,5.73,100.0,100.0,100.0
서울특별시,양천구,양천구,한강,,한강본류,한강서울 한강고양,안양천하류 행주대교수위표 안양천중류,439252,17.406,0,0,439252,0,0,0,0,16.0,0,0,0,1.406,100.0,100.0,99.2
서울특별시,강서구,강서구,한강,안양천,한강본류,한강서울 한강고양,안양천하류 행주대교수위표 계양천합류후 굴포천,568826,41.452,0,0,568826,0,0,0,0,25.242,0,0,0,16.21,100.0,100.0,100.0
서울특별시,구로구,구로구,한강,안양천,한강본류,한강서울,안양천하류 안양천중류,415651,20.123,0,0,415651,0,0,0,0,16.593,0,0,0,3.53,100.0,100.0,100.0
