지점정보,2020강수량(mm),2021강수량(mm),2022강수량(mm),2023강수량(mm),2024강수량(mm),2020~2024강수량 총합 (mm),2020~2024강수량 평균 (mm),호우주의보,호우경보,호우특보
산청(289),1484.3,1264.2,605,1226.1,583.7,5163.3,1032.66,22,4,26
거제(294),1247.6,1121,608.6,1344.8,780.7,5102.7,1020.54,9,5,14
부산(159),1517.1,1113.4,473.7,1155.5,622.6,4882.3,976.46,81,18,99
통영(162),1252.5,1063.8,440.2,1215.5,710.5,4682.5,936.5,37,7,44
전주(146),1303.7,855.2,659.5,1179.7,629.3,4627.4,925.48,36,4,40
철원(95),1179.7,404.4,1105.2,845.4,1090.5,4625.2,925.04,78,9,87
영주(272),1226,692,651,1418.1,600.1,4587.2,917.44,7,1,8
광주(156),1471.3,684.4,407.1,1467,531.6,4561.4,912.28,57,7,64
남원(247),1418.2,734.3,550.8,1196.1,650.7,4550.1,910.02,23,1,24
강화(201),910.1,386.7,1612,750.7,851,4510.5,902.1,0,0,0
서울(108),1085.7,484.1,1210.9,953.6,746,4480.3,896.06,55,13,68
파주(99),1045.2,327.3,1153.6,900.8,1019.8,4446.7,889.34,45,9,54
부여(236),1235.4,703.6,594.8,1303.1,602.8,4439.7,887.94,7,4,11
충주(127),969.9,681,1026.8,1041.8,700.7,4420.2,884.04,50,5,55
서귀포(189),1178.4,781.2,496.6,1016.2,933.8,4406.2,881.24,0,0,0
세종(239),1089,731.4,575.6,1280.7,717.1,4393.8,878.76,0,0,19
창원(155),996.1,1074.8,586.5,1187.6,538.1,4383.1,876.62,45,7,52
순천(174),1243.9,695.8,553.4,1226.7,640.9,4360.7,872.14,31,4,35
대전(133),1099,546.9,808.7,1250.7,649.3,4354.6,870.92,40,8,48
수원(119),1135.1,345.6,1355.9,822.7,668.4,4327.7,865.54,17,3,20
순창군(254),920.1,858.8,508.7,1426.4,595.1,4309.1,861.82,0,0,0
정읍(245),1444.4,633.2,483.2,1196.4,510.6,4267.8,853.56,13,0,13
동두천(98),1134.4,344.1,1332.3,829.9,621.4,4262.1,852.42,40,4,44
군산(140),1163.4,568.4,588,1228.2,699.2,4247.2,849.44,53,8,61
제천(221),1259.8,516.5,650.7,1077.5,738.6,4243.1,848.62,10,5,15
여수(168),1099.1,945.2,562.6,1027.6,590.9,4225.4,845.08,65,8,73
보령(235),1048.8,492.2,907.5,975.1,796,4219.6,843.92,17,4,21
양산시(257),1027.7,1053.2,524.1,1128.5,483,4216.5,843.3,0,0,0
봉화(271),1025.3,617.1,698.7,1215.1,649.9,4206.1,841.22,17,0,17
장수(248),1077.5,671,308.5,1406,721.3,4184.3,836.86,12,1,13
금산(238),1151.7,480.6,779,1070.1,677.9,4159.3,831.86,9,1,10
임실(244),1105.8,743.2,477.3,1244.8,578,4149.1,829.82,25,2,27
