재난,발생시간,지점정보
호우주의보,2020-01-07 19:00,제주(184)
호우주의보,2020-01-07 21:00,제주(184)
호우주의보,2020-01-26 23:00,제주(184)
호우주의보,2020-01-27 08:00,제주(184)
호우주의보,2020-01-27 14:00,제주(184)
호우주의보,2020-01-27 15:00,동해(106)
호우주의보,2020-02-12 03:00,서울(108)
호우주의보,2020-02-12 10:00,동해(106)
호우주의보,2020-02-12 11:00,제주(184)
호우주의보,2020-03-09 17:00,제주(184)
호우주의보,2020-03-09 23:00,속초(90)
호우주의보,2020-03-26 03:00,광주(156)
호우주의보,2020-03-26 10:00,제주(184)
호우주의보,2020-03-26 12:00,제주(184)
호우주의보,2020-03-26 20:00,울산(152)
호우주의보,2020-04-17 09:00,제주(184)
호우주의보,2020-04-17 07:30,흑산도(169)
호우주의보,2020-04-17 09:00,흑산도(169)
호우주의보,2020-04-17 14:00,제주(184)
호우주의보,2020-04-19 11:00,제주(184)
호우주의보,2020-04-19 16:00,제주(184)
호우주의보,2020-05-02 22:00,제주(184)
호우주의보,2020-05-02 22:00,흑산도(169)
호우주의보,2020-05-03 04:00,흑산도(169)
호우주의보,2020-05-03 04:40,울릉도(115)
호우주의보,2020-05-03 08:40,제주(184)
호우주의보,2020-05-03 10:00,울릉도(115)
호우주의보,2020-05-03 11:30,제주(184)
호우주의보,2020-05-08 23:00,제주(184)
호우주의보,2020-05-09 00:30,흑산도(169)
호우주의보,2020-05-09 03:40,제주(184)
호우주의보,2020-05-09 04:30,장흥(260)
호우주의보,2020-05-09 04:00,여수(168)
호우주의보,2020-05-09 07:00,완도(170)
호우경보,2020-05-09 07:15,제주(184)
호우주의보,2020-05-09 11:00,군산(140)
호우주의보,2020-05-15 06:00,속초(90)
호우주의보,2020-05-15 04:30,흑산도(169)
호우경보,2020-05-15 08:30,제주(184)
호우주의보,2020-05-15 09:00,제주(184)
호우주의보,2020-05-15 10:30,여수(168)
호우주의보,2020-05-15 11:00,완도(170)
호우주의보,2020-05-15 12:30,여수(168)
호우주의보,2020-05-15 13:20,산청(289)
호우주의보,2020-05-18 15:00,파주(99)
호우주의보,2020-05-18 16:10,철원(95)
호우주의보,2020-05-18 18:30,동두천(98)
호우주의보,2020-05-18 18:50,속초(90)
호우주의보,2020-05-18 20:10,충주(127)
호우주의보,2020-05-18 21:00,속초(90)
호우주의보,2020-05-18 22:10,충주(127)
호우주의보,2020-05-19 03:00,철원(95)
호우경보,2020-05-19 04:00,동해(106)
호우주의보,2020-05-19 16:00,속초(90)
호우주의보,2020-06-10 22:30,제주(184)
호우주의보,2020-06-11 00:40,상주(137)
호우주의보,2020-06-10 23:25,청주(131)
호우주의보,2020-06-11 01:10,대전(133)
호우주의보,2020-06-11 02:00,청주(131)
호우주의보,2020-06-11 03:00,대전(133)
호우주의보,2020-06-11 04:00,안동(136)
