
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,395
북춘천(93),127.75443,37.94738,452.6
철원(95),127.3042,38.14787,404.4
동두천(98),127.0607,37.90188,344.1
파주(99),126.76648,37.88589,327.3
대관령(100),128.71834,37.67713,420.6
춘천(101),127.7357,37.90262,398.8
백령도(102),124.71237,37.97396,564.6
북강릉(104),128.85535,37.80456,655.5
강릉(105),128.89099,37.75147,612.8
동해(106),129.12433,37.50709,574.7
서울(108),126.9658,37.57142,484.1
인천(112),126.6249,37.47772,398.6
원주(114),127.94659,37.33749,505.7
울릉도(115),130.89863,37.48129,483.5
수원(119),126.983,37.25746,345.6
영월(121),128.45743,37.18126,513.8
충주(127),127.9525,36.97045,681
서산(129),126.4939,36.77658,410.3
울진(130),129.41278,36.99176,461
청주(131),127.44066,36.63924,446.6
대전(133),127.3721,36.37199,546.9
추풍령(135),127.99458,36.22025,553.5
안동(136),128.70733,36.57293,374.6
상주(137),128.15741,36.40837,598
포항(138),129.38002,36.03201,690.2
군산(140),126.76135,36.0053,568.4
대구(143),128.65296,35.87797,464.7
전주(146),127.11718,35.84092,855.2
울산(152),129.33469,35.58237,727
창원(155),128.57282,35.17019,1074.8
광주(156),126.89156,35.17294,684.4
부산(159),129.03203,35.10468,1113.4
통영(162),128.43561,34.84541,1063.8
목포(165),126.38151,34.81732,560.2
여수(168),127.74063,34.73929,945.2
흑산도(169),125.45105,34.68719,410.9
완도(170),126.70182,34.3959,937
고창(172),126.599,35.34824,674.4
순천(174),127.3694,35.0204,695.8
홍성(177),126.68772,36.65759,462.8
제주(184),126.52969,33.51411,597.3
고산(185),126.16283,33.29382,493.9
성산(188),126.8802,33.38677,826.8
서귀포(189),126.5653,33.24616,737.6
진주(192),128.04004,35.16378,781.2
강화(201),126.44634,37.70739,297.8
양평(202),127.49446,37.48863,386.7
이천(203),127.48421,37.26399,354.9
인제(211),128.16714,38.05986,335.1
홍천(212),127.88043,37.6836,325.7
태백(216),128.98929,37.17038,559.1
정선군(217),128.6459,37.38149,442.3
제천(221),128.19433,37.15928,479.6
보은(226),127.73415,36.48761,516.5
천안(232),127.29282,36.76217,392.4
보령(235),126.55744,36.32724,440
부여(236),126.92079,36.27242,492.2
금산(238),127.48175,36.10563,703.6
세종(239),127.24438,36.48522,480.6
부안(243),126.71657,35.72961,731.4
임실(244),127.28556,35.61203,707.4
정읍(245),126.83904,35.56337,743.2
남원(247),127.39652,35.4213,633.2
장수(248),127.52031,35.65696,734.3
고창군(251),126.697,35.42661,671
영광군(252),126.47784,35.28366,624
김해시(253),128.89075,35.22981,908.1
순창군(254),127.1286,35.37131,622.4
북창원(255),128.6726,35.22655,858.8
양산시(257),129.02009,35.30737,1012.6
보성군(258),127.21226,34.76335,1053.2
강진군(259),126.76715,34.6289,902.3
장흥(260),126.91951,34.68886,893.3
해남(261),126.56907,34.55375,800.4
고흥(262),127.27572,34.61826,807.3
진도군(268),126.25846,34.47296,887.9
의령군(263),128.28812,35.32258,670
함양군(264),127.74538,35.51138,538.5
광양시(266),127.6914,34.9434,832.2
봉화(271),128.91449,36.94361,475.8
영주(272),128.51687,36.87183,617.1
문경(273),128.14879,36.62727,692
청송군(276),129.04005,36.4351,421.1
영덕(277),129.40926,36.53337,654.5
의성(278),128.68864,36.3561,418
구미(279),128.32055,36.13055,593.9
영천(281),128.9514,35.97742,572.1
경주시(283),129.2009,35.8174,564.3
거창(284),127.9099,35.66739,621.8
합천(285),128.16994,35.56505,620.3
밀양(288),128.74412,35.49147,679.4
산청(289),127.8791,35.413,556.4
거제(294),128.60459,34.88818,1264.2
남해(295),127.92641,34.81662,1121
