
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,618.7
북춘천(93),127.75443,37.94738,281.1
철원(95),127.3042,38.14787,275.7
동두천(98),127.0607,37.90188,269.4
파주(99),126.76648,37.88589,188.9
대관령(100),128.71834,37.67713,441.9
춘천(101),127.7357,37.90262,302
백령도(102),124.71237,37.97396,258.4
북강릉(104),128.85535,37.80456,764.1
강릉(105),128.89099,37.75147,679.8
동해(106),129.12433,37.50709,600.3
서울(108),126.9658,37.57142,277.9
인천(112),126.6249,37.47772,267.2
원주(114),127.94659,37.33749,392.7
울릉도(115),130.89863,37.48129,1035.2
수원(119),126.983,37.25746,414.7
영월(121),128.45743,37.18126,329.1
충주(127),127.9525,36.97045,383.3
서산(129),126.4939,36.77658,566.6
울진(130),129.41278,36.99176,337.8
청주(131),127.44066,36.63924,481.9
대전(133),127.3721,36.37199,348.4
추풍령(135),127.99458,36.22025,327.4
안동(136),128.70733,36.57293,239.9
상주(137),128.15741,36.40837,390.8
포항(138),129.38002,36.03201,347.9
군산(140),126.76135,36.0053,348.3
대구(143),128.65296,35.87797,296.8
전주(146),127.11718,35.84092,299.6
울산(152),129.33469,35.58237,478.8
창원(155),128.57282,35.17019,848.4
광주(156),126.89156,35.17294,346.1
부산(159),129.03203,35.10468,728.2
통영(162),128.43561,34.84541,617.4
목포(165),126.38151,34.81732,327.5
여수(168),127.74063,34.73929,469.8
흑산도(169),125.45105,34.68719,296.5
완도(170),126.70182,34.3959,647.2
고창(172),126.599,35.34824,309.9
순천(174),127.3694,35.0204,686.1
홍성(177),126.68772,36.65759,499.5
서청주(181),127.38458,36.63994,457
제주(184),126.52969,33.51411,597.1
고산(185),126.16283,33.29382,443.7
성산(188),126.8802,33.38677,716.1
서귀포(189),126.5653,33.24616,466.4
진주(192),128.04004,35.16378,586.6
강화(201),126.44634,37.70739,190.8
양평(202),127.49446,37.48863,376.1
이천(203),127.48421,37.26399,510.9
인제(211),128.16714,38.05986,341.2
홍천(212),127.88043,37.6836,320.9
태백(216),128.98929,37.17038,477.8
정선군(217),128.67348,37.37732,423.6
제천(221),128.19433,37.15928,351.8
보은(226),127.73415,36.48761,277.1
천안(232),127.29282,36.76217,457.2
보령(235),126.55744,36.32724,342.2
부여(236),126.92079,36.27242,293.1
금산(238),127.48175,36.10563,378.5
세종(239),127.24438,36.48522,372.3
부안(243),126.71657,35.72961,287.1
임실(244),127.28556,35.61203,429.2
정읍(245),126.83904,35.56337,288.6
남원(247),127.39652,35.4213,384
장수(248),127.52031,35.65696,459.9
고창군(251),126.697,35.42661,340.2
영광군(252),126.47784,35.28366,296.5
김해시(253),128.89075,35.22981,712.2
순창군(254),127.1286,35.37131,362.5
북창원(255),128.6726,35.22655,813.5
양산시(257),129.02009,35.30737,677.5
보성군(258),127.21226,34.76335,493.2
강진군(259),126.78408,34.64457,667.1
장흥(260),126.91951,34.68886,667.3
해남(261),126.56907,34.55375,556.8
고흥(262),127.27572,34.61826,552.3
의령군(263),128.28812,35.32258,484.4
함양군(264),127.74538,35.51138,333.4
광양시(266),127.6914,34.9434,515.1
진도군(268),126.25846,34.47296,606.9
봉화(271),128.91449,36.94361,322.3
영주(272),128.51687,36.87183,447.4
문경(273),128.14879,36.62727,328.6
청송군(276),129.04005,36.4351,307.6
영덕(277),129.40926,36.53337,278.3
의성(278),128.68864,36.3561,273.5
구미(279),128.32055,36.13055,255.9
영천(281),128.9514,35.97742,329.3
경주시(283),129.2009,35.8174,384.9
거창(284),127.9099,35.66739,290.7
합천(285),128.16994,35.56505,389.4
밀양(288),128.74412,35.49147,408.9
산청(289),127.8791,35.413,440.8
거제(294),128.60459,34.88818,758.1
남해(295),127.92641,34.81662,652.5
북부산(296),128.96024,35.21778,685.5
