
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,185.4
북춘천(93),127.75443,37.94738,195.4
철원(95),127.3042,38.14787,216.8
동두천(98),127.0607,37.90188,200.8
파주(99),126.76648,37.88589,174.4
대관령(100),128.71834,37.67713,171.5
춘천(101),127.7357,37.90262,193.5
백령도(102),124.71237,37.97396,163.3
북강릉(104),128.85535,37.80456,189.9
강릉(105),128.89099,37.75147,184.7
동해(106),129.12433,37.50709,162.7
서울(108),126.9658,37.57142,188.2
인천(112),126.6249,37.47772,177.1
원주(114),127.94659,37.33749,181.3
울릉도(115),130.89863,37.48129,219.4
수원(119),126.983,37.25746,194.6
영월(121),128.45743,37.18126,200.5
충주(127),127.9525,36.97045,238.5
서산(129),126.4939,36.77658,228.5
울진(130),129.41278,36.99176,155.8
청주(131),127.44066,36.63924,209.7
대전(133),127.3721,36.37199,217.4
추풍령(135),127.99458,36.22025,193.4
안동(136),128.70733,36.57293,222.6
상주(137),128.15741,36.40837,241.6
포항(138),129.38002,36.03201,212.4
군산(140),126.76135,36.0053,216.4
대구(143),128.65296,35.87797,191.3
전주(146),127.11718,35.84092,246.7
울산(152),129.33469,35.58237,248.6
창원(155),128.57282,35.17019,436
광주(156),126.89156,35.17294,261.1
부산(159),129.03203,35.10468,417.2
통영(162),128.43561,34.84541,456.8
목포(165),126.38151,34.81732,256.6
여수(168),127.74063,34.73929,459.6
흑산도(169),125.45105,34.68719,222.6
완도(170),126.70182,34.3959,512.3
고창(172),126.599,35.34824,213.9
순천(174),127.3694,35.0204,450.8
홍성(177),126.68772,36.65759,254.3
서청주(181),127.38458,36.63994,207.8
제주(184),126.52969,33.51411,221.2
고산(185),126.16283,33.29382,328.9
성산(188),126.8802,33.38677,484.4
서귀포(189),126.5653,33.24616,641.1
진주(192),128.04004,35.16378,478.3
강화(201),126.44634,37.70739,194.2
양평(202),127.49446,37.48863,182.8
이천(203),127.48421,37.26399,208.8
인제(211),128.16714,38.05986,150.6
홍천(212),127.88043,37.6836,172.8
태백(216),128.98929,37.17038,181.4
정선군(217),128.67348,37.37732,163.1
제천(221),128.19433,37.15928,235.6
보은(226),127.73415,36.48761,224.9
천안(232),127.29282,36.76217,197.2
보령(235),126.55744,36.32724,215.5
부여(236),126.92079,36.27242,242.5
금산(238),127.48175,36.10563,202.3
세종(239),127.24438,36.48522,220.9
부안(243),126.71657,35.72961,220.1
임실(244),127.28556,35.61203,252.4
정읍(245),126.83904,35.56337,224
남원(247),127.39652,35.4213,231.7
장수(248),127.52031,35.65696,262
고창군(251),126.697,35.42661,203.6
영광군(252),126.47784,35.28366,232.9
김해시(253),128.89075,35.22981,379.9
순창군(254),127.1286,35.37131,282.1
북창원(255),128.6726,35.22655,391.3
양산시(257),129.02009,35.30737,337.7
보성군(258),127.21226,34.76335,525.8
강진군(259),126.78408,34.64457,399.1
장흥(260),126.91951,34.68886,394.6
해남(261),126.56907,34.55375,285.7
고흥(262),127.27572,34.61826,466.4
의령군(263),128.28812,35.32258,348.7
함양군(264),127.74538,35.51138,254.6
광양시(266),127.6914,34.9434,540.3
진도군(268),126.25846,34.47296,326.8
봉화(271),128.91449,36.94361,200.8
영주(272),128.51687,36.87183,238.7
문경(273),128.14879,36.62727,284.9
청송군(276),129.04005,36.4351,239
영덕(277),129.40926,36.53337,209.4
의성(278),128.68864,36.3561,198
구미(279),128.32055,36.13055,206.9
영천(281),128.9514,35.97742,211
경주시(283),129.2009,35.8174,185.6
거창(284),127.9099,35.66739,270.1
합천(285),128.16994,35.56505,299.5
밀양(288),128.74412,35.49147,301.7
산청(289),127.8791,35.413,341.1
거제(294),128.60459,34.88818,497.5
남해(295),127.92641,34.81662,725.1
북부산(296),128.96024,35.21778,340.5
