
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,321.5
북춘천(93),127.75443,37.94738,152.9
철원(95),127.3042,38.14787,199.5
동두천(98),127.0607,37.90188,173.5
파주(99),126.76648,37.88589,161.4
대관령(100),128.71834,37.67713,207.9
춘천(101),127.7357,37.90262,146.5
백령도(102),124.71237,37.97396,250.6
북강릉(104),128.85535,37.80456,228.8
강릉(105),128.89099,37.75147,208.2
동해(106),129.12433,37.50709,189.5
서울(108),126.9658,37.57142,145.6
인천(112),126.6249,37.47772,125.7
원주(114),127.94659,37.33749,116.9
울릉도(115),130.89863,37.48129,234.6
수원(119),126.983,37.25746,133.2
영월(121),128.45743,37.18126,127.4
충주(127),127.9525,36.97045,156.3
서산(129),126.4939,36.77658,145
울진(130),129.41278,36.99176,149
청주(131),127.44066,36.63924,103.9
대전(133),127.3721,36.37199,122.6
추풍령(135),127.99458,36.22025,126
안동(136),128.70733,36.57293,105
상주(137),128.15741,36.40837,156.1
포항(138),129.38002,36.03201,116.6
군산(140),126.76135,36.0053,135.8
대구(143),128.65296,35.87797,95
전주(146),127.11718,35.84092,127.4
울산(152),129.33469,35.58237,166.3
창원(155),128.57282,35.17019,175.8
광주(156),126.89156,35.17294,195.6
부산(159),129.03203,35.10468,238.5
통영(162),128.43561,34.84541,253.5
목포(165),126.38151,34.81732,231.1
여수(168),127.74063,34.73929,272.2
흑산도(169),125.45105,34.68719,271.6
완도(170),126.70182,34.3959,401.6
고창(172),126.599,35.34824,177.1
순천(174),127.3694,35.0204,236.4
홍성(177),126.68772,36.65759,131.7
제주(184),126.52969,33.51411,184.5
고산(185),126.16283,33.29382,184
성산(188),126.8802,33.38677,444.1
서귀포(189),126.5653,33.24616,458
진주(192),128.04004,35.16378,219.1
강화(201),126.44634,37.70739,141.4
양평(202),127.49446,37.48863,135.9
이천(203),127.48421,37.26399,164
인제(211),128.16714,38.05986,192.3
홍천(212),127.88043,37.6836,136.2
태백(216),128.98929,37.17038,173.6
정선군(217),128.6459,37.38149,166.1
제천(221),128.19433,37.15928,173.4
보은(226),127.73415,36.48761,148.6
천안(232),127.29282,36.76217,123.2
보령(235),126.55744,36.32724,131.7
부여(236),126.92079,36.27242,145.5
금산(238),127.48175,36.10563,136.6
세종(예)(239),127.235,36.48639,131.8
부안(243),126.71657,35.72961,156.2
임실(244),127.28556,35.61203,163.5
정읍(245),126.83904,35.56337,159.7
남원(247),127.39652,35.4213,167.1
장수(248),127.52031,35.65696,170.3
고창군(251),126.697,35.42661,167.2
영광군(252),126.47784,35.28366,213.8
김해시(253),128.89075,35.22981,172.5
순창군(254),127.1286,35.37131,187
북창원(255),128.6726,35.22655,142.2
양산시(257),129.02009,35.30737,173.8
보성군(258),127.21226,34.76335,332.5
강진군(259),126.76715,34.6289,263
장흥(260),126.91951,34.68886,255.6
해남(261),126.56907,34.55375,271.8
고흥(262),127.27572,34.61826,276.4
의령군(263),128.28812,35.32258,147.8
함양군(264),127.74538,35.51138,153.8
광양시(266),127.6914,34.9434,272.1
진도군(268),126.25846,34.47296,301.1
봉화(271),128.91449,36.94361,162
영주(272),128.51687,36.87183,189.5
문경(273),128.14879,36.62727,173.4
청송군(276),129.04005,36.4351,104.5
영덕(277),129.40926,36.53337,110.4
의성(278),128.68864,36.3561,107.2
구미(279),128.32055,36.13055,123.7
영천(281),128.9514,35.97742,104
경주시(283),129.2009,35.8174,117.8
거창(284),127.9099,35.66739,152.3
합천(285),128.16994,35.56505,158.6
밀양(288),128.74412,35.49147,130.8
산청(289),127.8791,35.413,164.5
거제(294),128.60459,34.88818,280.1
남해(295),127.92641,34.81662,347.9
