
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,785.5
북춘천(93),127.75443,37.94738,1028.7
철원(95),127.3042,38.14787,1105.2
동두천(98),127.0607,37.90188,1332.3
파주(99),126.76648,37.88589,1153.6
대관령(100),128.71834,37.67713,834.1
춘천(101),127.7357,37.90262,1102.4
백령도(102),124.71237,37.97396,630.7
북강릉(104),128.85535,37.80456,711.1
강릉(105),128.89099,37.75147,721.4
동해(106),129.12433,37.50709,514.9
서울(108),126.9658,37.57142,1210.9
인천(112),126.6249,37.47772,1137.1
원주(114),127.94659,37.33749,977.9
울릉도(115),130.89863,37.48129,485
수원(119),126.983,37.25746,1355.9
영월(121),128.45743,37.18126,911.5
충주(127),127.9525,36.97045,1026.8
서산(129),126.4939,36.77658,999.5
울진(130),129.41278,36.99176,332.4
청주(131),127.44066,36.63924,820.7
대전(133),127.3721,36.37199,808.7
추풍령(135),127.99458,36.22025,560.2
안동(136),128.70733,36.57293,409.9
상주(137),128.15741,36.40837,520.9
포항(138),129.38002,36.03201,325.2
군산(140),126.76135,36.0053,588
대구(143),128.65296,35.87797,313.9
전주(146),127.11718,35.84092,659.5
울산(152),129.33469,35.58237,410.6
창원(155),128.57282,35.17019,586.5
광주(156),126.89156,35.17294,407.1
부산(159),129.03203,35.10468,473.7
통영(162),128.43561,34.84541,440.2
목포(165),126.38151,34.81732,378.8
여수(168),127.74063,34.73929,562.6
흑산도(169),125.45105,34.68719,281.7
완도(170),126.70182,34.3959,246
고창(172),126.599,35.34824,377.8
순천(174),127.3694,35.0204,553.4
홍성(177),126.68772,36.65759,857.8
제주(184),126.52969,33.51411,416.9
고산(185),126.16283,33.29382,574.4
성산(188),126.8802,33.38677,663.5
서귀포(189),126.5653,33.24616,804.8
진주(192),128.04004,35.16378,496.6
강화(201),126.44634,37.70739,991.7
양평(202),127.49446,37.48863,1612
이천(203),127.48421,37.26399,1030.9
인제(211),128.16714,38.05986,967.6
홍천(212),127.88043,37.6836,1123.2
태백(216),128.98929,37.17038,614.7
정선군(217),128.6459,37.38149,975.4
제천(221),128.19433,37.15928,1070.1
보은(226),127.73415,36.48761,650.7
천안(232),127.29282,36.76217,651.6
보령(235),126.55744,36.32724,981.8
부여(236),126.92079,36.27242,907.5
금산(238),127.48175,36.10563,594.8
세종(239),127.24438,36.48522,779
부안(243),126.71657,35.72961,575.6
임실(244),127.28556,35.61203,566.5
정읍(245),126.83904,35.56337,477.3
남원(247),127.39652,35.4213,483.2
장수(248),127.52031,35.65696,550.8
고창군(251),126.697,35.42661,308.5
영광군(252),126.47784,35.28366,363.2
김해시(253),128.89075,35.22981,434.7
순창군(254),127.1286,35.37131,479.4
북창원(255),128.6726,35.22655,508.7
양산시(257),129.02009,35.30737,377.1
보성군(258),127.21226,34.76335,524.1
강진군(259),126.78408,34.64457,487.1
장흥(260),126.91951,34.68886,447.1
해남(261),126.56907,34.55375,379.9
고흥(262),127.27572,34.61826,464.9
의령군(263),128.28812,35.32258,425.2
함양군(264),127.74538,35.51138,401.7
광양시(266),127.6914,34.9434,537.1
진도군(268),126.25846,34.47296,345.7
봉화(271),128.91449,36.94361,666.4
영주(272),128.51687,36.87183,698.7
문경(273),128.14879,36.62727,651
청송군(276),129.04005,36.4351,396.1
영덕(277),129.40926,36.53337,294.3
의성(278),128.68864,36.3561,386.3
구미(279),128.32055,36.13055,465.4
영천(281),128.9514,35.97742,416.7
경주시(283),129.2009,35.8174,359
거창(284),127.9099,35.66739,312.1
합천(285),128.16994,35.56505,423.9
밀양(288),128.74412,35.49147,522.2
산청(289),127.8791,35.413,556.2
거제(294),128.60459,34.88818,605
남해(295),127.92641,34.81662,608.6
