
지점정보,경도,위도,강수량(mm)
속초(90),128.56473,38.25085,342.3
북춘천(93),127.75443,37.94738,131.2
철원(95),127.3042,38.14787,124.8
동두천(98),127.0607,37.90188,148
파주(99),126.76648,37.88589,156
대관령(100),128.71834,37.67713,291.6
춘천(101),127.7357,37.90262,155.4
백령도(102),124.71237,37.97396,143.3
북강릉(104),128.85535,37.80456,445.3
강릉(105),128.89099,37.75147,451.3
동해(106),129.12433,37.50709,390
서울(108),126.9658,37.57142,179.5
인천(112),126.6249,37.47772,156
원주(114),127.94659,37.33749,155.5
울릉도(115),130.89863,37.48129,415.2
수원(119),126.983,37.25746,179.5
영월(121),128.45743,37.18126,188
충주(127),127.9525,36.97045,217.5
서산(129),126.4939,36.77658,227.3
울진(130),129.41278,36.99176,287.7
청주(131),127.44066,36.63924,213.6
대전(133),127.3721,36.37199,265.8
추풍령(135),127.99458,36.22025,259.6
안동(136),128.70733,36.57293,151.7
상주(137),128.15741,36.40837,242.4
포항(138),129.38002,36.03201,247.7
군산(140),126.76135,36.0053,335.3
대구(143),128.65296,35.87797,168.1
전주(146),127.11718,35.84092,312
울산(152),129.33469,35.58237,274.4
창원(155),128.57282,35.17019,278
광주(156),126.89156,35.17294,222.6
부산(159),129.03203,35.10468,280.5
통영(162),128.43561,34.84541,219
목포(165),126.38151,34.81732,230.4
여수(168),127.74063,34.73929,261.1
흑산도(169),125.45105,34.68719,240.3
완도(170),126.70182,34.3959,290.4
고창(172),126.599,35.34824,255.4
순천(174),127.3694,35.0204,254.9
홍성(177),126.68772,36.65759,304
서청주(예)(181),127.396944,36.63972,222.2
제주(184),126.52969,33.51411,372.7
고산(185),126.16283,33.29382,209
성산(188),126.8802,33.38677,492.9
서귀포(189),126.5653,33.24616,279.2
진주(192),128.04004,35.16378,331.4
강화(201),126.44634,37.70739,181.2
양평(202),127.49446,37.48863,178.7
이천(203),127.48421,37.26399,217.1
인제(211),128.16714,38.05986,115.3
홍천(212),127.88043,37.6836,179.7
태백(216),128.98929,37.17038,226.8
정선군(217),128.6459,37.38149,194
제천(221),128.19433,37.15928,209.2
보은(226),127.73415,36.48761,221.8
천안(232),127.29282,36.76217,214.1
보령(235),126.55744,36.32724,234.6
부여(236),126.92079,36.27242,301.9
금산(238),127.48175,36.10563,277.7
세종(239),127.24438,36.48522,258.8
부안(243),126.71657,35.72961,321.8
임실(244),127.28556,35.61203,286.4
정읍(245),126.83904,35.56337,297.9
남원(247),127.39652,35.4213,252.7
장수(248),127.52031,35.65696,293.1
고창군(251),126.697,35.42661,246.7
영광군(252),126.47784,35.28366,240.9
김해시(253),128.89075,35.22981,251.9
순창군(254),127.1286,35.37131,268.1
북창원(255),128.6726,35.22655,271.5
양산시(257),129.02009,35.30737,258.4
보성군(258),127.21226,34.76335,314.3
강진군(259),126.78408,34.64457,278.1
장흥(260),126.91951,34.68886,240.2
해남(261),126.56907,34.55375,210.5
고흥(262),127.27572,34.61826,239.6
의령군(263),128.28812,35.32258,252.7
함양군(264),127.74538,35.51138,278.5
광양시(266),127.6914,34.9434,289.1
진도군(268),126.25846,34.47296,277.5
봉화(271),128.91449,36.94361,166.3
영주(272),128.51687,36.87183,214.9
문경(273),128.14879,36.62727,243.1
청송군(276),129.04005,36.4351,194.2
영덕(277),129.40926,36.53337,273.5
의성(278),128.68864,36.3561,151.7
구미(279),128.32055,36.13055,205.2
영천(281),128.9514,35.97742,188.6
경주시(283),129.2009,35.8174,279.7
거창(284),127.9099,35.66739,269.1
합천(285),128.16994,35.56505,208.3
밀양(288),128.74412,35.49147,186.5
산청(289),127.8791,35.413,243.8
거제(294),128.60459,34.88818,265.4
남해(295),127.92641,34.81662,338.6
