지점정보,2024강수량(mm)
속초(90),289.5
북춘천(93),628.3
철원(95),1090.5
동두천(98),621.4
파주(99),1019.8
대관령(100),417.7
춘천(101),658.1
백령도(102),354.7
북강릉(104),283.1
강릉(105),296.7
동해(106),289.7
서울(108),746
인천(112),531.4
원주(114),722.2
울릉도(115),328.8
수원(119),668.4
영월(121),697.5
충주(127),700.7
서산(129),874.1
울진(130),359.4
청주(131),718.4
대전(133),649.3
추풍령(135),559.6
안동(136),530.7
상주(137),712.5
포항(138),387.2
군산(140),699.2
대구(143),588.8
전주(146),629.3
울산(152),422.9
창원(155),538.1
광주(156),531.6
부산(159),622.6
통영(162),710.5
목포(165),527.8
여수(168),590.9
흑산도(169),395.4
완도(170),589.6
고창(172),441.4
순천(174),640.9
홍성(177),785.2
서청주(181),719.1
제주(184),474.8
고산(185),503.7
성산(188),822.7
서귀포(189),933.8
진주(192),558.9
강화(201),851
양평(202),699.2
이천(203),864.8
인제(211),541.7
홍천(212),666
태백(216),560.8
정선군(217),580.2
제천(221),738.6
보은(226),631.5
천안(232),682.7
보령(235),796
부여(236),602.8
금산(238),677.9
세종(239),717.1
부안(243),440.4
임실(244),578
정읍(245),510.6
남원(247),650.7
장수(248),721.3
고창군(251),425.7
영광군(252),351.7
김해시(253),456
순창군(254),595.1
북창원(255),455.6
양산시(257),483
보성군(258),660.5
강진군(259),537.2
장흥(260),631.5
해남(261),498
고흥(262),490
의령군(263),485.8
함양군(264),473.6
광양시(266),742.8
진도군(268),564.2
봉화(271),649.9
영주(272),600.1
문경(273),647.5
청송군(276),310.2
영덕(277),222.4
의성(278),426.7
구미(279),426
영천(281),523.7
경주시(283),411.6
거창(284),517.2
합천(285),460.9
밀양(288),380.1
산청(289),583.7
거제(294),780.7
남해(295),748.5
북부산(296),467.5
