재난,발생시간,지점정보
호우주의보,2020-01-07 19:00,기타
호우주의보,,제주(184)
호우주의보,2020-01-07 21:00,기타
호우주의보,,제주(184)
호우주의보,2020-01-26 23:00,기타
호우주의보,,제주(184)
호우주의보,2020-01-27 08:00,기타
호우주의보,,제주(184)
호우주의보,2020-01-27 14:00,기타
호우주의보,,제주(184)
호우주의보,2020-01-27 15:00,기타
호우주의보,,동해(106)
호우주의보,2020-02-12 03:00,기타
호우주의보,,서울(108)
호우주의보,2020-02-12 10:00,기타
호우주의보,,동해(106)
호우주의보,2020-02-12 11:00,기타
호우주의보,,제주(184)
호우주의보,2020-03-09 17:00,기타
호우주의보,,제주(184)
호우주의보,2020-03-09 23:00,기타
호우주의보,,속초(90)
호우주의보,2020-03-26 03:00,기타
호우주의보,,광주(156)
호우주의보,2020-03-26 10:00,기타
호우주의보,,제주(184)
호우주의보,2020-03-26 12:00,기타
호우주의보,,제주(184)
호우주의보,2020-03-26 20:00,기타
호우주의보,,울산(152)
호우주의보,2020-04-17 09:00,기타
호우주의보,,제주(184)
호우주의보,2020-04-17 07:30,기타
호우주의보,,흑산도(169)
호우주의보,2020-04-17 09:00,기타
호우주의보,,흑산도(169)
호우주의보,2020-04-17 14:00,기타
호우주의보,,제주(184)
호우주의보,2020-04-19 11:00,기타
호우주의보,,제주(184)
호우주의보,2020-04-19 16:00,기타
호우주의보,,제주(184)
호우주의보,2020-05-02 22:00,기타
호우주의보,,제주(184)
호우주의보,2020-05-02 22:00,기타
호우주의보,,흑산도(169)
호우주의보,2020-05-03 04:00,기타
호우주의보,,흑산도(169)
호우주의보,2020-05-03 04:20,기타
호우주의보,,기타
호우주의보,2020-05-03 04:40,기타
호우주의보,,울릉도(115)
호우주의보,2020-05-03 08:40,기타
호우주의보,,제주(184)
호우주의보,2020-05-03 10:00,기타
호우주의보,,울릉도(115)
호우주의보,2020-05-03 11:30,기타
호우주의보,,제주(184)
호우주의보,2020-05-08 23:00,기타
호우주의보,,제주(184)
호우주의보,2020-05-09 00:30,기타
호우주의보,,흑산도(169)
호우주의보,2020-05-09 03:40,기타
호우주의보,,제주(184)
호우주의보,2020-05-09 04:30,기타
호우주의보,,장흥(260)
호우주의보,2020-05-09 04:00,기타
호우주의보,,여수(168)
호우주의보,2020-05-09 07:00,기타
호우주의보,,완도(170)
호우경보,2020-05-09 07:15,기타
호우경보,,제주(184)
호우주의보,2020-05-09 11:00,기타
호우주의보,,군산(140)
호우주의보,2020-05-15 06:00,기타
호우주의보,,속초(90)
호우주의보,2020-05-15 04:30,기타
호우주의보,,흑산도(169)
호우경보,2020-05-15 08:30,기타
호우경보,,제주(184)
호우주의보,2020-05-15 09:00,기타
호우주의보,,제주(184)
호우주의보,2020-05-15 10:30,기타
호우주의보,,여수(168)
호우주의보,2020-05-15 11:00,기타
호우주의보,,완도(170)
호우주의보,2020-05-15 12:30,기타
호우주의보,,여수(168)
호우주의보,2020-05-15 13:20,기타
호우주의보,,산청(289)
호우주의보,2020-05-17 14:50,기타
호우주의보,,기타
호우주의보,2020-05-17 18:30,기타
호우주의보,,기타
호우주의보,2020-05-18 15:00,기타
호우주의보,,파주(99)
호우주의보,2020-05-18 16:10,기타
호우주의보,,철원(95)
호우주의보,2020-05-18 18:30,기타
호우주의보,,동두천(98)
호우주의보,2020-05-18 18:50,기타
호우주의보,,속초(90)
호우주의보,2020-05-18 20:10,기타
호우주의보,,충주(127)
호우주의보,2020-05-18 21:00,기타
호우주의보,,속초(90)
호우주의보,2020-05-18 22:10,기타
호우주의보,,충주(127)
호우주의보,2020-05-19 03:00,기타
호우주의보,,철원(95)
호우경보,2020-05-19 04:00,기타
호우경보,,동해(106)
호우주의보,2020-05-19 16:00,기타
호우주의보,,속초(90)
호우주의보,2020-06-06 17:00,기타
호우주의보,,기타
호우주의보,2020-06-06 17:10,기타
호우주의보,,기타
호우주의보,2020-06-06 20:00,기타
호우주의보,,기타
호우주의보,2020-06-10 22:30,기타
호우주의보,,제주(184)
호우주의보,2020-06-11 00:40,기타
호우주의보,,상주(137)
호우주의보,2020-06-10 23:25,기타
호우주의보,,청주(131)
호우주의보,2020-06-11 01:10,기타
호우주의보,,대전(133)
호우주의보,2020-06-11 02:00,기타
호우주의보,,청주(131)
호우주의보,2020-06-11 03:00,기타
호우주의보,,대전(133)
호우주의보,2020-06-11 04:00,기타
호우주의보,,안동(136)
호우주의보,2020-06-12 18:55,기타
호우주의보,,대구(143)
호우주의보,2020-06-12 20:20,기타
호우주의보,,기타
호우주의보,2020-06-12 21:00,기타
호우주의보,,여수(168)
호우주의보,2020-06-12 22:20,기타
호우주의보,,통영(162)
호우주의보,2020-06-12 23:00,기타
호우주의보,,울산(152)
호우주의보,2020-06-13 01:00,기타
호우주의보,,대구(143)
호우경보,2020-06-13 02:30,기타
호우경보,,창원(155)
호우주의보,2020-06-13 03:00,기타
호우주의보,,고창(172)
호우주의보,2020-06-13 04:30,기타
호우주의보,,제주(184)
호우주의보,2020-06-13 06:00,기타
호우주의보,,울산(152)
호우주의보,2020-06-13 07:10,기타
호우주의보,,창원(155)
호우경보,2020-06-13 07:40,기타
호우경보,,제주(184)
호우주의보,2020-06-13 08:30,기타
호우주의보,,통영(162)
호우주의보,2020-06-13 12:00,기타
호우주의보,,제주(184)
호우주의보,2020-06-14 01:00,기타
호우주의보,,군산(140)
호우주의보,2020-06-14 03:00,기타
호우주의보,,완도(170)
호우경보,2020-06-14 03:00,기타
호우경보,,흑산도(169)
호우주의보,2020-06-14 04:00,기타
호우주의보,,상주(137)
호우경보,2020-06-14 04:00,기타
호우경보,,기타
호우경보,2020-06-14 04:30,기타
호우경보,,전주(146)
호우주의보,2020-06-14 05:00,기타
호우주의보,,거창(284)
호우주의보,2020-06-14 08:00,기타
호우주의보,,여수(168)
호우주의보,2020-06-14 06:30,기타
호우주의보,,흑산도(169)
호우주의보,2020-06-14 07:00,기타
호우주의보,,전주(146)
호우주의보,2020-06-14 08:30,기타
호우주의보,,상주(137)
호우주의보,2020-06-14 12:00,기타
호우주의보,,제주(184)
호우주의보,2020-06-17 20:00,기타
호우주의보,,제주(184)
호우주의보,2020-06-18 04:30,기타
호우주의보,,제주(184)
호우주의보,2020-06-18 05:00,기타
호우주의보,,흑산도(169)
호우주의보,2020-06-18 08:30,기타
호우주의보,,제주(184)
호우주의보,2020-06-18 11:00,기타
호우주의보,,제주(184)
호우주의보,2020-06-18 11:30,기타
