시도,평균_인프라지수,표준편차,최소값,최대값,지역수,평균_하수도설치율,평균_공공하수처리구역,평균_고도처리,평균_인구밀도
강원특별자치도,57.66,21.56,0.0,84.04,193,61.89,78.01,74.81,1687.42
경기도,74.64,16.04,0.0,99.18,567,82.49,92.39,91.81,8785.24
경상남도,58.1,20.72,0.02,88.22,305,60.46,79.21,76.25,2179.66
경상북도,48.52,24.79,0.01,88.71,291,55.44,63.22,62.14,1131.03
광주광역시,69.95,3.77,64.23,74.32,5,63.02,99.12,99.12,3413.28
대구광역시,75.49,13.91,40.02,85.2,9,87.61,93.44,93.44,5725.77
대전광역시,79.6,2.09,76.36,81.45,5,97.42,98.24,98.1,2960.15
부산광역시,80.58,4.91,71.68,87.4,16,91.2,99.54,97.42,8921.08
서울특별시,87.25,2.02,82.73,90.98,25,99.94,100.0,100.0,16755.93
세종특별자치시,72.58,16.66,28.53,90.84,24,79.15,92.3,92.12,6263.68
울산광역시,78.25,3.64,73.62,82.22,5,90.84,99.22,99.22,3202.38
인천광역시,71.01,20.48,27.11,87.29,10,78.22,88.99,88.99,7018.92
전라남도,51.23,22.26,0.01,88.35,297,58.41,69.75,61.48,1122.06
전라북도,57.83,20.6,0.0,92.71,243,65.31,76.64,70.23,2755.01
제주특별자치도,71.41,13.88,34.67,86.67,43,86.02,94.46,80.05,2902.33
충청남도,44.2,22.42,0.02,82.5,207,42.18,62.38,60.89,1509.38
충청북도,59.23,20.55,0.01,93.34,153,67.2,76.52,75.3,2434.86
